Seat,con_2015,lab_2015,ld_2015,ukip_2015,leave_share,born_in_uk,male,unemployed,degree,age_18to24
Bermondsey and Old Southwark,11.767,43.065,34.336,6.328,26.0503273,58.13613443,50.57065174,5.508162395,38.62520153,14.82113783
Berwick-upon-Tweed,41.073,14.947,28.917,11.164,55.2978154,96.8263821,49.3700309,4.062122397,13.78667836,6.802873821
Bethnal Green and Bow,15.248,61.195,4.525,6.082,30.8583952,59.30945904,51.10449857,6.603542318,35.43337937,16.8462956
Beverley and Holderness,48.148,24.982,5.505,16.694,58.7394756,96.83803184,48.85511489,3.452392257,14.34930642,6.831214661
Bexhill and Battle,54.774,14.12,7.604,18.418,57.7212146,93.76631886,47.60391951,2.947612305,12.88976097,6.022218472
Bexleyheath and Crayford,47.254,26.213,2.994,21.019,65.2551375,87.95533194,48.23331208,4.406649861,11.29936196,8.658136782
Birkenhead,14.858,67.617,3.566,9.805,51.7076065,95.34328627,48.23796978,6.869249207,10.87277794,9.100632755
"Birmingham, Edgbaston",38.292,44.845,2.867,10.06,47.3470705,80.26882611,48.65690498,5.787932368,24.15349315,15.12819982
"Birmingham, Erdington",30.836,45.623,2.782,17.414,62.9728917,84.97514778,48.35852646,8.214920713,9.999342927,9.728159709
"Birmingham, Hall Green",17.704,59.829,11.604,4.53,33.5687509,68.20558393,50.38997791,7.152929432,20.4179692,10.46642049
"Birmingham, Hodge Hill",11.47,68.396,6.394,11.333,51.4841673,71.1969296,48.87736485,9.526675717,7.510217581,10.41601604
"Birmingham, Ladywood",12.741,73.627,3.826,5.026,35.6226716,59.68995919,51.54744145,9.14014968,19.71554987,18.80766893
"Birmingham, Northfield",35.713,41.622,3.177,16.735,61.7882451,91.5107176,48.22326517,7.057384682,11.26835108,9.075940131
"Birmingham, Perry Barr",21.495,57.433,4.85,12.196,51.2173171,70.19516295,49.39676907,7.812334709,12.26393212,11.39882342
"Birmingham, Selly Oak",29.004,47.653,5.557,12.706,46.9074313,85.66788703,48.17377267,5.144818049,19.45510226,18.54574457
"Birmingham, Yardley",13.997,41.625,25.598,16.128,60.0948076,82.10103243,49.03127284,7.286231246,9.220723218,9.362176544
Bishop Auckland,32.494,41.4,4.374,17.81,60.8859752,97.58787281,48.8656576,4.621092173,9.70569471,8.133757158
Blackburn,27.278,56.279,2.171,14.273,53.7292573,81.35688044,49.99160808,5.846487819,10.11049655,9.416668221
Blackley and Broughton,15.038,61.926,2.355,16.458,50.0392038,73.64700146,50.22030807,6.828654678,13.59710857,10.37705184
Blackpool North and Cleveleys,44.444,35.966,2.407,14.782,66.9103424,95.33882553,48.64673646,5.051059442,7.852177306,7.496012759
Blackpool South,33.799,41.768,2.291,17.305,67.8141246,94.30758251,49.31828809,6.380166948,6.377482051,8.922550636
Blaydon,17.443,49.159,12.233,17.498,56.1246243,97.44452374,48.30484476,4.135668407,12.66893281,7.341330524
Blyth Valley,21.7,46.314,5.889,22.319,60.4948533,97.67322998,48.45449899,4.98684232,8.623995007,8.126658067
Bognor Regis and Littlehampton,51.331,13.813,8.999,21.736,64.792305,90.18824988,48.09362714,3.727286846,8.91455524,8.103989516
Bolsover,24.465,51.234,3.327,20.974,70.3942464,97.01607867,49.24369926,4.53125,7.23094965,7.882675473
Bolton North East,32.817,42.958,2.864,18.806,58.1127597,88.84434556,49.30421459,5.250996476,12.48111212,9.346402485
Bolton South East,20.345,50.45,2.631,23.629,63.0276743,84.12238199,49.62210188,5.807189723,9.211763809,9.72805095
Bolton West,40.632,38.984,4.007,15.286,55.5540265,94.76423728,49.30334416,3.987523786,15.85143749,7.776943178
Bootle,8.059,74.457,2.166,10.885,54.7996745,97.02485551,48.09698423,7.155521082,9.009428618,9.616146431
Boston and Skegness,43.797,16.479,2.342,33.792,75.6498714,88.67570119,48.70382754,4.489554804,5.777057404,7.785885685
Bosworth,42.811,17.457,22.304,17.427,60.8293639,96.0053723,49.2195926,3.203954343,12.87741042,7.097942655
Bournemouth East,49.211,16.615,8.37,16.51,53.6906946,84.13638499,49.9383272,3.929992465,16.65570922,9.822617276
Bournemouth West,48.249,17.681,7.854,18.541,57.7317666,86.97255679,49.54530757,3.709000508,13.90315481,15.27059251
Bracknell,55.77,16.871,7.503,15.708,53.2448746,87.39520644,49.90700913,3.374985402,18.49857915,7.897071026
Bradford East,11.308,46.641,29.532,9.909,55.1578293,77.03918468,49.51502372,7.416919605,9.917874396,9.815498155
Bradford South,26.271,43.426,2.91,24.088,63.5612178,88.76064799,48.416958,6.16699613,8.988519576,8.85420257
Bradford West,15.289,49.583,2.911,7.793,46.7408544,67.60484834,50.43438102,6.96672646,13.90933838,13.23271843
Braintree,53.837,18.487,4.948,18.816,61.5156402,94.00143091,49.02085037,3.612030711,10.87047913,7.53577269
Brent Central,20.341,62.119,8.371,3.933,42.8875883,45.75663208,50.15061337,6.708541975,22.70688422,10.27226822
Brent North,33.535,54.276,4.991,3.875,42.6117511,40.72802839,50.66545251,4.86844015,24.71640004,10.47289935
Brentford and Isleworth,42.945,43.756,4.019,5.585,43.3089032,57.08096083,49.96577367,4.266860073,34.21462196,9.018637792
Brentwood and Ongar,58.836,12.509,8.819,16.81,61.1892869,92.42768162,48.46434373,3.101053103,16.77282657,7.012919952
Bridgwater and West Somerset,45.953,17.612,12.425,19.169,62.0639832,94.79379991,48.74964772,3.549052419,10.13197877,7.749178018
Brigg and Goole,53.03,27.201,1.766,15.47,66.2269169,95.12029156,49.23765368,4.25922152,9.665526522,7.283232994
"Brighton, Kemptown",40.675,39.152,3.013,9.813,43.5923134,86.75505368,49.58118099,4.004401077,18.32755067,13.78662619
"Brighton, Pavilion",22.767,27.259,2.789,4.982,25.9335501,84.10703426,50.1819621,3.384024876,32.39382019,18.45588022
Bristol East,30.658,39.27,5.819,15.476,46.7952718,87.29133462,49.18316416,4.250581636,14.36388864,10.01593826
Bristol North West,43.947,34.404,6.204,9.437,38.852812,86.58155522,48.5522126,4.035019347,22.42806757,10.66670635
Bristol South,24.344,38.364,8.686,16.484,47.9528379,91.68444093,48.84086993,4.740912508,17.27300095,9.462115214
Bristol West,15.186,35.66,18.847,3.021,20.7115084,77.10278125,51.95441568,4.17260068,40.50016609,22.14897507
Broadland,50.496,18.78,9.753,16.729,54.100848,95.96062529,48.79606673,2.653457316,11.5984356,6.339034332
Bromley and Chislehurst,52.973,22.192,6.436,14.263,49.8288693,84.77993524,47.63688468,4.058970245,22.42355606,7.261403766
Bromsgrove,53.848,22.211,5.007,15.624,55.3651279,96.00905625,49.4462659,3.052782161,17.36288534,7.135000053
Broxbourne,56.051,18.403,3.187,19.716,65.5347732,88.25792084,48.51098289,4.086929682,10.98249826,8.283227047
Broxtowe,45.215,37.193,3.967,10.618,52.5137019,91.57005823,49.46141454,3.657742812,19.89010571,8.471006939
Buckingham,0,0,0,21.744,48.8708672,92.70250247,49.42686039,2.346534653,22.67374357,6.406404346
Burnley,13.521,37.616,29.455,17.27,66.612799,92.26501568,49.15517063,5.273289573,8.590431238,8.962887237
Burton,49.773,27.533,2.516,17.679,64.7931575,90.78759089,49.77076053,3.967166443,11.69600521,8.559246965
Bury North,41.941,41.105,2.061,12.37,53.6670312,91.6129698,49.19970648,4.208102987,15.13618289,8.078607627
Bury South,34.629,45.053,3.579,13.341,54.5117526,91.00590748,48.72856238,4.351017873,15.64444787,8.114102328
Bury St Edmunds,53.614,17.718,6.035,14.727,53.9924714,92.73122328,49.68331603,2.687019202,14.31919079,7.831770439
Calder Valley,43.619,35.35,4.979,11.113,53.1642131,96.06647177,48.62326512,4.112124992,18.55738877,7.167762551
Camberwell and Peckham,13.169,63.253,5.004,4.68,31.4817703,59.15624551,48.76782777,7.094404518,30.24569875,10.59045246
Camborne and Redruth,40.228,24.959,12.399,14.773,58.4128528,95.84133152,48.53808699,3.39356756,10.74775645,8.708272859
Cambridge,15.678,36.014,34.857,5.153,26.2252731,70.42879554,51.09900645,2.760105813,41.00992856,20.34251351
Cannock Chase,44.186,33.733,2.696,17.461,68.8603531,97.50774661,49.37924524,4.581177187,7.5999342,8.481254232
Canterbury,42.865,24.539,11.647,13.633,45.3274048,86.71211567,48.04904832,2.846021391,20.43752785,19.31094436
Carlisle,44.316,37.803,2.552,12.391,60.6437746,94.70103165,48.63862106,3.813565983,10.65670634,9.374382117
Carshalton and Wallington,31.699,15.017,34.871,14.805,56.261214,82.2569816,48.34770567,4.398793111,16.67685601,8.142926082
Castle Point,50.851,13.824,1.762,31.195,72.6993924,96.4243106,48.75186056,3.541918113,6.022531514,7.711536058
Central Devon,52.226,12.829,12.201,13.17,50.8869519,95.06556013,48.77875987,2.621734474,18.1202486,6.137687515
Central Suffolk and North Ipswich,56.05,18.808,6.127,13.79,54.8911912,94.5368171,49.15146308,2.92261989,14.43768047,6.526507303
Charnwood,54.312,21.915,6.898,15.939,57.8746718,92.33545827,48.79680838,2.837947411,15.38273511,7.445012032
Chatham and Aylesford,50.18,23.586,3.157,19.922,63.9053918,90.38044428,49.19768506,4.973902795,9.103692516,9.283416083
Cheadle,43.11,16.335,30.956,8.33,42.6530326,91.51752854,48.5415774,2.872319194,23.50343342,6.783999648
Chelmsford,51.53,17.619,11.881,14.219,50.6832006,90.89486265,49.32083776,3.718426929,18.03407295,8.485733799
Chelsea and Fulham,62.949,23.119,5.198,5.069,29.0990556,56.63169248,48.25775566,3.878182535,47.09166116,9.681447912
Cheltenham,46.134,7.262,34.008,7.087,42.8989761,88.54549096,48.87238121,3.413358627,25.69405262,11.18368982
Chesham and Amersham,59.052,12.729,9.029,13.689,44.984984,88.93614724,48.63064716,2.656704027,27.84918362,5.876828413
Chesterfield,18.064,47.905,13.828,16.51,59.2932532,96.06104152,49.02410776,4.620241195,10.70904963,7.944406314
Chichester,57.672,12.134,8.514,14.946,50.7327707,91.84950275,47.82704505,2.8388537,19.00793333,8.204150459
Chingford and Woodford Green,47.939,28.794,5.479,12.885,49.880471,80.22325835,48.32499518,4.493343774,19.86442302,8.587732135
Chippenham,47.564,8.232,29.379,10.62,51.5858182,93.1095333,48.78031058,3.229493728,17.28961692,7.072122571
Chipping Barnet,48.59,34.148,4.491,7.83,41.074578,70.79653131,48.31164656,4.305797493,29.20574035,7.724183509
Chorley,36.34,45.1,2.618,13.527,56.745851,96.27733536,49.26684364,3.415853537,15.47495593,7.780305903
Christchurch,58.115,9.546,6.564,21.452,59.9639612,94.46743863,47.78817168,2.656798226,11.25925719,5.948849227
Cities of London and Westminster,54.083,27.357,6.967,5.234,28.0536729,48.04454545,53.04909091,3.722864346,48.29980106,11.93545455
City of Chester,43.05,43.232,5.61,8.108,42.2757087,92.48561751,48.48862842,3.478435709,23.02065018,11.38233238
City of Durham,22.24,47.288,11.283,11.456,43.336734,92.94092715,49.58092715,3.262693515,19.5883579,17.44741722
Clacton,36.657,14.396,1.837,44.432,73.0439705,95.70168348,47.21119038,5.150883614,5.098757213,6.924870254
Cleethorpes,46.632,29.127,2.985,18.532,69.503821,96.60551537,48.81775346,4.62698587,8.680794668,7.732415886
Colchester,38.934,16.159,27.461,12.08,51.5144818,86.71300985,49.6464414,4.192817618,16.56585677,11.90221895
Colne Valley,44.447,34.979,5.998,10.095,50.0553492,92.39842126,49.14607009,4.018684566,18.617802,7.58692686
Congleton,53.288,20.384,9.069,13.579,52.6126911,96.66702914,49.13114398,3.090107232,18.0132955,6.571335363
Copeland,35.795,42.265,3.452,15.513,59.1965837,96.79321556,50.11064272,3.960560388,11.95460277,7.428514915
Corby,42.765,38.472,2.596,13.722,60.1468893,89.89545772,49.49272927,4.018947708,10.9915607,7.782087031
Coventry North East,23.09,52.154,4.752,14.866,57.7745682,75.60242872,49.35074336,6.64514565,11.90624303,10.39534526
Coventry North West,31.048,41.014,4,15.694,58.37436,83.83198509,49.28721548,4.895123871,14.38817169,11.13093822
Coventry South,34.976,42.271,4.071,13.064,50.3794929,77.30376881,50.54699414,4.657108482,18.77604763,19.34133381
Crawley,47.022,33.58,2.758,14.375,58.4136714,79.7386418,49.43666332,4.512075296,12.12196478,8.570597672
Crewe and Nantwich,44.984,37.728,2.754,14.534,60.2891232,93.06709176,49.29943787,3.968284222,13.2324881,9.465745635
Croydon Central,42.978,42.666,2.176,9.086,50.3102407,74.15544222,48.12954971,5.765239635,19.94213842,9.187045029
Croydon North,22.699,62.615,3.585,5.416,41.168066,59.21319573,48.61588898,6.596163456,20.90320104,9.477816001
Croydon South,54.747,24.439,6.003,10.564,45.8056749,80.155199820000007,48.7245736,3.97734884,23.21911682,7.883404807
Dagenham and Rainham,24.372,41.417,1.666,29.849,70.3479569,79.76197473,48.05759624,6.419676913,9.940750494,9.404447057
Darlington,35.194,42.87,4.779,13.106,58.0996502,94.46383058,48.75460801,5.638313945,11.33485206,8.277453865
Dartford,48.972,25.421,2.774,19.905,63.9834539,89.08333333,49.2994186,4.303553245,11.94022592,8.478682171
Daventry,58.171,18.072,4.478,15.796,58.5894934,94.37400107,49.73574853,2.924603462,16.23382594,6.954714971
Denton and Reddish,23.655,50.829,2.474,18.678,60.9840282,94.95526144,48.6555131,4.606674237,8.863248231,8.708873148
Derby North,36.657,36.565,8.564,14.598,54.2503796,89.21483608,49.56390858,4.451102653,16.93461689,13.41666417
Derby South,27.386,49.013,4.206,15.534,61.3534511,79.94980352,49.64047229,6.786494642,11.67753761,10.21425104
Derbyshire Dales,52.374,22.721,8.372,11.63,51.2354118,96.6964524,49.387973,2.618291604,20.8689036,6.121541062
Devizes,57.738,12.978,8.068,15.394,53.5341945,90.99126025,51.16564291,2.748052756,15.81645732,9.337510822
Dewsbury,39.073,41.779,3.588,12.398,57.1465485,90.06378223,49.39306936,4.367534534,13.03769042,9.393796224
Don Valley,25.27,46.182,3.5,23.45,68.4864372,96.30840125,49.6036378,5.004971826,8.294976614,8.527116046
Doncaster Central,20.747,49.085,4.248,24.114,66.7048397,88.57265364,49.66079085,6.115234604,8.947789841,9.077656027
Doncaster North,18.316,52.424,2.544,22.602,71.6506862,96.92816205,48.76226865,6.106561943,6.378180902,8.819278083
Dover,43.28,30.748,3.13,20.263,63.0096124,92.5414874,49.06781397,4.656921705,10.33864517,7.674656833
Dudley North,30.806,41.811,1.258,23.987,71.4302256,92.93260115,49.02115295,6.017696062,8.355372409,8.569528922
Dudley South,43.766,32.591,2.167,18.937,70.4173185,95.83542587,49.37977099,5.569798854,7.922309061,8.497388509
Dulwich and West Norwood,22.682,54.071,9.842,3.127,22.9374207,67.64487706,48.37437354,5.986195912,40.19095431,8.163413001
Ealing Central and Acton,42.693,43.231,6.103,3.784,29.1502806,53.44543163,49.75255194,4.560246406,40.13995301,8.988519415
Ealing North,29.724,55.133,3.247,8.085,46.2560922,53.4937292,49.41337715,5.410203594,21.89253528,8.764252747
"Ealing, Southall",21.668,64.973,3.578,4.083,41.8263491,47.60042078,50.97688765,5.771653975,24.00948625,10.34081276
Easington,12.933,61.033,2.409,18.747,65.9633748,97.80352547,48.89632592,5.367203878,7.028414623,9.110899008
East Devon,46.423,10.218,6.789,12.556,50.4076662,94.66133084,47.79258376,2.374089806,16.73417209,6.621184384
East Ham,12.069,77.573,1.637,5.014,46.2692813,44.45015416,52.66147008,6.718110006,22.94818407,13.14918381
East Hampshire,60.667,10.107,11.098,11.979,49.2743694,91.05917172,48.6503222,2.605368461,20.32919996,6.829201738
East Surrey,57.414,11.812,9.249,17.028,54.1993428,90.63326798,48.60764794,2.771734114,18.49819869,7.091192874
East Worthing and Shoreham,49.473,19.514,6.734,16.568,53.6814482,92.65600267,48.3181288,3.284220325,12.25407747,7.111763726
East Yorkshire,50.561,20.69,5.933,17.913,63.6621847,96.62970601,48.7930502,3.950536669,11.3276695,6.401864969
Eastbourne,39.568,7.831,38.182,11.603,57.5444606,88.50934002,47.78010706,3.943833459,12.65844102,8.488376446
Eastleigh,42.274,12.938,25.794,15.824,54.3458993,93.02930717,49.13504814,3.16734373,14.33030715,8.286190646
Eddisbury,51.037,23.638,9.058,12.202,52.1666686,96.74658134,48.8047832,3.326941515,17.86779714,6.956430348
Edmonton,24.116,61.416,2.17,8.143,45.5096172,57.03424089,47.95241792,6.997685244,14.57315183,10.04113904
Ellesmere Port and Neston,34.329,47.758,3.345,11.972,58.3419781,95.91545569,48.63599231,3.958525274,12.4961436,8.016062039
Elmet and Rothwell,48.407,33.718,4.568,11.125,56.793101,96.48173615,48.74376399,2.684360503,16.34601281,6.527609086
Eltham,36.379,42.619,3.031,15.017,51.8152651,79.58533406,48.80401965,5.129140079,19.23434745,10.08923896
Enfield North,41.368,43.722,2.295,8.958,49.2154426,72.76449982,47.74145343,6.105289147,17.49006967,8.844963271
"Enfield, Southgate",49.384,39.009,3.314,4.604,37.8848159,65.7086509,49.01698954,4.467955969,28.76071805,9.316514987
Epping Forest,54.768,16.134,6.987,18.337,61.0112858,89.64704893,48.30360523,3.849890521,16.56812389,7.707921417
Epsom and Ewell,58.291,15.515,8.753,12.455,47.7807571,85.51109917,48.44765204,2.679970535,23.42354162,7.377371709
Erewash,42.705,35.288,3.431,16.125,63.2237912,96.19564062,49.14832536,4.854005131,9.952372277,8.637958533
Erith and Thamesmead,27.416,49.767,2.281,17.289,54.6308785,69.35751832,49.05266407,6.614616106,16.25231866,9.755698995
Esher and Walton,62.912,12.688,9.429,9.743,41.5663302,82.55037864,48.432257,2.702244259,31.37225171,5.857491244
Exeter,33.098,46.396,4.297,9.395,44.8278936,88.4856318,48.64525746,3.153192067,19.40838071,18.15411612
Fareham,56.104,14.26,8.801,15.406,55.5201073,94.27408106,49.20003282,2.67952389,15.09469248,7.541229078
Faversham and Mid Kent,54.352,16.163,6.635,17.997,58.670455,93.65329081,48.70910737,3.454048156,14.21914239,7.278781087
Feltham and Heston,29.11,52.313,3.196,12.568,55.9320054,56.34963039,50.36881684,5.026933874,18.58563671,10.18891396
Filton and Bradley Stoke,46.679,26.643,7.293,14.788,48.7730339,89.74754725,50.02104672,2.895352236,17.6290779,10.30641871
Finchley and Golders Green,50.897,39.743,3.274,3.412,31.1007869,57.59899841,48.37407137,4.191452991,38.19018724,8.29878615
Folkestone and Hythe,47.851,14.432,8.875,22.77,61.6404102,90.95012612,49.17997964,4.48737581,11.15585031,7.951497986
Forest of Dean,46.832,24.645,5.311,17.754,57.8888968,96.12960878,49.11160885,3.384891633,12.49300425,7.560899184
Fylde,49.145,18.785,3.726,12.786,56.728643,95.06555656,48.66445296,3.03097008,16.46567042,6.642332202
Gainsborough,52.677,21.315,6.679,15.686,61.9558242,95.95830744,48.72054863,3.779721682,12.47296513,6.889521255
Garston and Halewood,13.664,69.083,4.653,9.15,47.9628137,94.93843209,48.05060544,6.209954954,13.66542621,8.98799349
Gateshead,14.498,56.784,6.812,17.827,56.223255,92.47349375,49.64235075,5.940116362,13.74127543,9.75916873
Gedling,36.087,42.308,3.971,14.438,56.2974291,94.03672203,48.74153005,4.272457696,13.98989097,7.804783158
Gillingham and Rainham,47.984,25.617,3.626,19.54,63.5820896,89.78043104,49.2907012,4.507337526,9.508822488,10.44318527
Gloucester,45.339,31.547,5.379,14.26,58.9001472,89.15171725,49.37765256,4.422013646,10.98366509,9.562573558
Gosport,55.311,14.531,6.919,19.44,61.8151926,94.07956649,49.01601878,3.927836091,10.19298514,8.019731331
Grantham and Stamford,52.83,16.873,6.07,17.505,60.9959141,92.4840264,48.31834162,3.487604615,13.08613765,7.027425736
Gravesham,46.838,30.144,2.216,18.56,65.377208,85.94081793,49.29119151,5.074394393,10.68005533,8.82618954
Great Grimsby,26.308,39.768,4.981,24.953,71.4466296,94.96957266,49.25603164,7.896011374,6.406988928,10.22177397
Great Yarmouth,42.927,29.088,2.316,23.095,71.5049473,93.46710939,49.09896481,6.062590768,5.501078397,8.45112411
Greenwich and Woolwich,26.625,52.196,5.662,8.323,35.6656796,64.18208616,50.0248606,6.373188492,32.48529644,11.10203502
Guildford,57.056,12.103,15.474,8.843,41.202344,82.95266311,49.50164226,2.728623874,29.6705313,12.9279582
Hackney North and Stoke Newington,14.731,62.856,4.995,2.175,20.4807893,61.97710019,49.48217689,6.61967996,36.24377734,10.26820582
Hackney South and Shoreditch,13.493,64.382,4.594,3.821,22.7822619,59.77722144,49.62531928,7.490074509,35.52502351,11.7901788
Halesowen and Rowley Regis,43.208,36.175,2.065,16.614,66.589868,94.31853319,48.90573644,5.184528708,9.541105474,8.411685887
Halifax,39.033,40.011,3.723,12.847,58.8216533,88.90992911,49.1389481,5.870442556,11.0489335,8.701730035
Haltemprice and Howden,54.175,20.959,6.266,13.908,55.2317096,96.10140196,49.09680408,2.802257802,16.84625173,7.688744789
Halton,17.784,62.839,2.437,14.066,57.6668684,97.38617822,48.86572978,5.5917481,8.702849248,9.160482131
Hammersmith,36.412,50.002,4.637,4.389,31.3136338,55.35200785,49.1593085,5.28812127,40.98747266,11.60729389
Hampstead and Kilburn,42.323,44.431,5.632,2.839,23.7253193,54.06149751,48.70258253,4.544109232,47.37713868,8.007600643
Harborough,52.743,15.328,13.411,14.368,52.3664029,88.93425523,48.83372077,2.941538798,17.02563978,8.886173531
Harlow,48.864,29.995,2.043,16.289,67.7323179,89.06394106,48.5183859,4.880769347,9.508864887,8.063973612
Harrogate and Knaresborough,52.745,10.134,22.074,10.643,47.1793551,90.44249709,48.33718199,2.77747358,21.69804507,6.829889277
Harrow East,50.343,40.635,2.116,4.761,47.4785845,53.07581847,49.00106977,4.578863333,23.55599356,9.477549368
Harrow West,42.223,46.96,3.362,4.392,45.0562432,53.34805357,50.15984256,4.688394856,28.9408435,9.158546537
Hartlepool,20.907,35.644,1.927,27.987,69.5683297,97.21932455,48.6275916,7.774983534,8.320310395,9.134176555
Harwich and North Essex,51.045,19.714,7.384,17.476,58.9955845,93.55270374,48.82417462,3.164234561,12.98139848,9.206975979
Hastings and Rye,44.546,35.129,3.169,13.325,55.9372394,91.82193658,48.69980738,5.103656143,11.20149624,8.453104164
Havant,51.662,15.948,6.534,20.61,62.617908,94.87891156,48.47020408,4.226149491,10.78354175,7.994557823
Hayes and Harlington,24.731,59.577,1.971,11.958,58.2450013,59.72051974,50.16298475,5.608081526,15.75943548,10.41468043
Hazel Grove,41.375,17.548,26.215,12.224,52.2085915,95.98474227,48.64410847,3.382971268,15.2881048,7.054172508
Hemel Hempstead,52.878,23.825,4.84,14.605,55.486562,88.54910985,49.15425296,4.155956638,16.07070809,8.221307174
Hemsworth,22.86,51.342,3.2,20.198,68.1255456,95.69350932,49.03594789,4.678074246,9.053427921,8.174436347
Hendon,49.019,41.515,2.192,5.229,41.5741753,55.85234845,48.65473931,4.808522568,26.53046379,10.21445014
Henley,58.462,12.523,11.234,10.875,43.0858202,90.8559277,49.16472416,2.245100824,26.39841622,6.247699669
Hereford and South Herefordshire,52.572,12.785,10.585,16.831,60.4175582,92.49682025,49.27378657,3.579861697,13.30866228,8.053994174
Hertford and Stortford,56.138,17.919,7.792,13.387,49.2372345,91.16492208,49.0239994,2.952400598,22.38597725,6.840906748
Hertsmere,59.284,22.429,5.544,12.743,50.8365256,82.98727395,48.27503474,3.705723595,20.56462219,7.960532235
Hexham,52.68,24.923,6.831,9.925,45.3367358,96.52788709,48.71714151,2.733836149,22.06185243,6.573010126
Heywood and Middleton,19.094,43.113,3.311,32.195,62.4256116,93.52416886,48.47633165,5.608558908,10.60432615,8.918705604
High Peak,44.962,35.327,4.704,11.441,50.5480277,96.41442591,49.260661,3.822582321,17.90206407,8.073317784
Hitchin and Harpenden,56.863,20.647,8.098,8.879,39.7935195,89.34311846,49.01663538,2.893927148,30.53231262,6.088929493
Holborn and St Pancras,21.877,52.92,6.473,4.989,26.6587436,59.71085652,49.41094941,4.774816603,39.91245768,16.60031554
Hornchurch and Upminster,48.973,20.101,2.717,25.304,69.4946937,91.02638897,47.99311592,4.356998966,10.47712037,8.42035665
Hornsey and Wood Green,9.253,50.908,31.771,2.2,24.98291,63.25533658,49.11408317,4.984903568,44.64482419,8.147093222
Horsham,57.316,11.417,11.677,13.999,49.4864101,91.19218455,49.10889943,2.708606964,19.07501952,6.609960267
Houghton and Sunderland South,18.46,55.127,2.055,21.513,62.4341858,98.01843636,48.16096182,5.33511689,8.038342938,8.427392474
Hove,39.924,42.291,3.564,6.253,32.9468448,83.95637224,49.29375558,3.763828764,28.6672803,7.790241897
Huddersfield,26.782,44.928,5.843,14.694,51.8508416,83.42637676,49.70722801,5.620755307,15.23138494,12.67734218
Huntingdon,53.019,18.326,7.823,16.938,53.4889703,88.90595044,50.00177519,3.309119289,16.52672425,8.195164383
Hyndburn,31.888,42.148,2.003,21.344,65.8191278,92.65898329,49.43780137,4.549059512,9.408078469,8.645966225
Ilford North,42.659,43.863,2.309,8.9,53.3092042,69.19747731,48.78008363,4.943343354,21.25487169,8.665646414
Ilford South,25.919,64.016,1.953,5.211,43.3097999,53.36665776,50.46895868,6.33174085,24.58379917,10.43003778
Ipswich,44.757,37.091,2.875,11.712,56.5157235,87.08842876,49.94816656,5.535198896,12.89044263,10.04651248
