Library Code ,Name of Library ,Street Address ,City (of street address),ZIP Code (of street address) ,County of the Entity,Telephone (include area code) ,Library’s main website address ,GEOCODE,Population of Legal Service Area ,Number of Central Libraries,Number of Branch Libraries,Number of Bookmobiles ,FTE of Librarians with ALA-accredited master’s degree ,Total FTE of Librarians,FTE of All Other Paid Staff ,Total FTE of Paid Employees,Number of individuals who worked for the library this fiscal year,Number of hours volunteers worked for the library this fiscal year,Operating Revenue - Total,Operating Expenditures - Total,Capital Revenue - Total,Capital Expenditures - Total,Print Materials ,Electronic Books (e-Books) ,Audio Materials - Physical Units,Audio Materials - Downloadable Units,Video Materials - Physical Units,Video Materials - Downloadable Units,Other Library Materials ,Total Library Collection,Licensed Databases paid by the State Library,Licensed Databases paid by other cooperative agreements (or consortia),Total Licensed Databases,Number of Current Print Serial Subscriptions ,Public Service Hours Per Year (all outlets) ,Weekly Scheduled Public Service Hours (all outlets) ,Library Visits ,Reference Transactions ,Number of registered borrowers,Circulation of Electronic Materials,Circulation of Physical Materials,Total Circulation,Circulation of Children’s Materials,Number of Items Provided To Other Libraries ,Number of Items Received From Other Libraries ,Total Number of Library Programs,Number of Children’s Programs ,Number of YA Programs ,Total Attendance at Library Programs,Attendance at Children’s Programs ,Attendance at YA Programs ,Number of Internet terminals for the general public,Number of patrons that used public Internet computers,Number of times patrons used the wireless network,Maintenance of Effort,Tax Rate,Total Materials Per Capita,Circulation Per Capita,Reference Transactions Per Capita,Visits Per Capita,Operating Expenditures Per Capita
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.45,0.05,2.62,12.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,10.23,0.71,5.76,26.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,12.33,1.08,6.76,33.7
UTAHCO2100,EAGLE MOUNTAIN PUBLIC LIBRARY,1650 E. STAGECOACH RUN,EAGLE MOUNTAIN,84005,UTAH,8017896623,HTTP://WWW.EAGLEMOUNTAINCITY.ORG/INDEX.ASP?TYPE=B_BASIC&SEC={F2733418-22FF-4212-,CI1,23212,1,0,0,0,1.6,2.8,4.4,5,195,194562,194562,100709,100709,33251,4297,1441,8979,3363,141,67,51539,41,,44,4,2063,43,68983,17762,13295,3207,161883,165090,67168,0,98,81,70,11,1746,1664,82,12,4364,208,188609,,2.22,7.11,0.77,2.97,8.38
EMRYCO1100,EMERY COUNTY LIBRARY,145 NORTH 1ST EAST,CASTLE DALE,84513,EMERY,4353812554,WWW.LIB.EMERYCOUNTY.COM,CO1,10933,0,8,0,0,12.23,1.92,14.15,430,664,838736,838736,0,0,117070,4297,2329,8979,4074,141,137,137027,41,,41,97,16177,324,87923,11061,3650,1362,118909,120271,27353,0,281,1037,710,93,16609,13338,1508,29,27843,4632,806856,0.000404,12.53,11,1.01,8.04,76.72
SANPET1200,EPHRAIM PUBLIC LIBRARY,30 SOUTH MAIN STREET,EPHRAIM,84627,SANPETE,4352834544,HTTP://WWW.EPHRAIMCITY.ORG/SERV/LIBRARY.SHTML,CI1,6146,1,0,0,0,2,1.5,3.5,30,129,119573,119573,11546,11546,22071,4297,1953,8979,2734,141,0,40175,41,,41,39,2669,54,53595,,4421,628,66388,67016,32502,0,293,139,112,17,4231,3685,288,6,6244,,113342,,6.54,10.9,0,,19.46
GARFLD1100,GARFIELD COUNTY/PANGUITCH CITY LIBRARY,25 SOUTH 200 EAST,PANGUITCH,84759,GARFIELD,4356762431,WWW.PANGUITCHLIBRARY.ORG,CO2,5095,1,1,1,0,1.62,0.38,2,24,157,160211,160211,0,0,30565,4297,1941,8979,1125,141,24,47072,41,,41,3,3397,72,36901,379,2943,751,38425,39176,22704,0,21,6,6,0,782,782,0,10,5615,1560,139090,,9.24,7.69,0.07,,31.44
BXELDR1300,GARLAND PUBLIC LIBRARY,86 WEST FACTORY ROAD,GARLAND,84312,BOX ELDER,4352573117,GARLANDLIBRARY.ORG,CI1,2360,1,0,0,0,1,0.85,1.85,24,3428,95631,95631,0,0,13678,4297,711,8979,832,141,145,28783,41,,41,10,1272,26,19479,1066,1040,388,40685,41073,10836,0,40,143,57,36,3628,2296,779,6,2800,254,71787,,12.2,17.4,0.45,8.25,40.52
GRNDCO1100,GRAND COUNTY PUBLIC LIBRARY,257 EAST CENTER ST,MOAB,84532,GRAND,4352595421,WWW.MOABLIBRARY.ORG,CO1,9328,1,1,0,1,1,9.5,10.5,28,1144,685825,653245,2890,2890,38727,4297,3578,8979,4946,141,225,60893,41,,42,104,3493,71,148461,14804,8216,1766,169225,170991,55272,0,952,375,323,0,8736,6120,0,65,95630,55321,612560,0.000463,6.53,18.33,1.59,15.92,70.03
SANPET1300,GUNNISON CIVIC LIBRARY,38 WEST CENTER STREET,GUNNISON,84634,SANPETE,4355283104,WWW.GUNNISONCITY.ORG/LIBRARY.HTM,CI1,1721,1,0,0,0,0.5,0.5,1,5,137,46275,46275,13097,13097,15646,4297,1399,8979,740,141,58,31260,41,,41,6,1818,36,11356,1772,1205,403,21970,22373,10101,0,105,104,100,4,2026,1990,36,6,4113,513,35406,0.000241,18.16,13,1.03,6.6,26.89
CARBON1200,HELPER CITY LIBRARY,19 SOUTH MAIN STREET,HELPER,84526,CARBON,4354725601,helpercitylibrary.wordpress.com/,CI1,2189,1,0,0,0,0.5,0.5,1,25,268,43084,42468,0,0,7500,4297,436,8979,364,141,0,21717,41,,41,17,2200,44,11015,3000,641,50,3713,3763,2725,0,35,127,96,31,1734,1536,198,5,3305,60,36834,,9.92,1.72,1.37,5.03,19.4
UTAHCO2301,HIGHLAND CITY LIBRARY,"5400 W CIVIC CENTER DR, SUITE 2",HIGHLAND,84003,UTAH,8017724528,HTTP://HIGHLANDCITYLIBRARY.ORG,CI1,16440,1,0,0,1,1,3.65,4.65,65,601,249595,222139,0,0,24275,4313,903,8993,1548,142,0,40174,41,,41,35,2976,60,64988,5817,7371,5235,162916,168151,100293,0,724,206,175,26,4297,3952,163,9,12000,1600,214866,0.000248,2.44,10.23,0.35,3.95,13.51
CACHCO1200,HYRUM LIBRARY,50 WEST MAIN STREET,HYRUM,84319,CACHE,4352456411,WWW.HYRUMLIBRARY.COM,CI1,17085,1,0,0,0,0.9,5.3,6.2,138,1167,266341,266341,5426,5426,64970,4297,2537,8979,4589,141,2100,87613,41,,41,64,2060,42,72696,23608,5032,3953,321014,324967,185231,0,315,148,105,31,4782,3108,1196,17,17472,,250440,,5.13,19.02,1.38,4.25,15.59
IRONCO1100,IRON COUNTY BOOKMOBILE LIBRARY,4763 NORTH SANTA FE TRAIL,ENOCH,84721,IRON,4355866715,HTTP://BOOKMOBILES.UTAH.GOV/IRON/INDEX.HTM,CO2,14805,1,0,1,1,1,0.7,1.7,21,405,154051,154051,0,0,17866,4297,429,8979,2936,141,119,34767,41,,41,0,2829,58,15070,7300,4196,166,41883,42049,29484,0,760,61,58,3,1955,1875,80,7,1500,10,124373,0.000086,2.35,2.84,0.49,1.02,10.41
JUABCO1100,JUAB COUNTY BOOKMOBILE LIBRARY,79 NORTH 100 WEST,BICKNELL,84715,JUAB,4354253170,HTTP://BOOKMOBILES.UTAH.GOV/TRICOUNTY/INDEX.HTML,CO2,4903,0,0,1,0,0.47,0.36,0.83,,,91186,91186,0,0,,4297,,8979,,141,,13413,41,,41,0,,,,,,,,,,0,,0,0,0,0,0,0,1,,,61857,,2.74,0,,,18.6
KANECO1200,KANAB CITY LIBRARY,374 NORTH MAIN STREET,KANAB,84741,KANE,4356442394,KANABLIBRARY.ORG,CI1,4410,1,0,0,0,1.95,0.25,2.2,22,1568,134174,134174,0,0,30067,4297,1504,8979,1865,141,40,46893,41,,41,51,2164,45,24029,52,3794,1305,47096,48401,9650,0,1528,68,43,0,925,518,0,13,8406,,128210,,10.63,10.98,0.01,5.45,30.42
KANECO1100,KANE COUNTY BOOKMOBILE LIBRARY,25 SOUTH 200 EAST,PANGUITCH,84759,KANE,4356762431,HTTP://BOOKMOBILES.UTAH.GOV/MULTI_COUNTY/INDEX.HTML,CO2,2811,0,0,1,0,0.08,0.37,0.45,16,24,83017,83017,0,0,20587,4297,419,8979,734,141,20,35177,41,,41,0,390,16,10128,,2388,325,,,,0,0,1,1,0,34,34,0,1,,,38235,0.000066,12.51,0,,,29.53
UTAHCO1300,LEHI CITY PUBLIC LIBRARY,120 NORTH CENTER STREET,LEHI,84043,UTAH,8017687150,WWW.LEHI-UT.GOV/LIBRARY/,CI1,51173,1,0,0,0,8,11,19,,,925032,925032,31864,31864,105088,4297,8101,8979,7206,141,622,134434,41,,43,28,3200,64,,,20729,16885,511130,528015,366106,0,123,737,737,0,40993,40993,0,14,15681,,925032,,2.63,10.32,,,18.08
CACHCO1300,LEWISTON PUBLIC LIBRARY,33 SOUTH MAIN STREET,LEWISTON,84320,CACHE,4352585515,HTTP://WWW.LEWISTON-UT.ORG/LIBRARY.HTML,CI1,1774,1,0,0,0,0.55,0.75,1.3,75,420,42531,42531,0,0,26663,4297,233,8979,980,141,200,41493,41,,41,10,2025,40,12294,804,780,291,29358,29649,16482,0,43,53,35,16,1640,867,259,8,4534,170,36956,,23.39,16.71,0.45,6.93,23.97
CACHCO1400,LOGAN LIBRARY,255 NORTH MAIN STREET,LOGAN,84321,CACHE,4357169123,LIBRARY.LOGANUTAH.ORG,CI1,48879,1,0,0,7,10,12.6,22.6,43,2569,1837235,1681497,0,0,172546,16587,10554,8979,16798,133,1479,226666,41,,51,95,2984,60,261048,25715,24722,13786,966717,980503,420341,3701,2154,501,296,48,9249,6270,353,19,35345,5087,1658605,0.000809,4.64,20.06,0.53,5.34,34.4
SANPET1400,MANTI CITY LIBRARY,02 SOUTH MAIN STREET,MANTI,84642,SANPETE,4358352201,HTTP://WWW.MANTIUTAH.ORG/MANTI_CITY/LIBRARY.HTML,CI1,3300,1,0,0,0,3,0.3,3.3,217,409,95408,95408,13825,109233,19445,4297,3505,8979,3010,150,209,37577,41,,41,33,2300,50,19250,3600,1880,3400,42260,45660,27200,0,566,97,82,0,1414,690,0,11,10000,,75374,,11.39,13.84,1.09,5.83,28.91
BEAVER1300,MILFORD PUBLIC LIBRARY,400 SOUTH 100 WEST,MILFORD,84751,BEAVER,4353875039,http://www.milfordut.com/departments.library.html,CI1,1368,1,0,0,0,1,0.5,1.5,16,275,74052,74052,10903,10903,17841,4297,313,8979,567,141,0,32138,41,,41,5,1751,35,8977,1300,1012,40,17814,17854,7125,110,189,119,107,12,1974,1205,111,8,5329,425,34684,,23.49,13.05,0.95,6.56,54.13
MILLRD1100,MILLARD COUNTY BOOKMOBILE LIBRARY,90 NORTH 200 WEST,DELTA,84624,MILLARD,4358642292,HTTP://BOOKMOBILES.UTAH.GOV/MILLARD/INDEX.HTML,CO2,5139,0,0,1,0,1,0.6,1.6,160,1024,195770,195770,0,0,24025,4297,1217,8979,1536,141,191,40386,41,,41,0,2600,60,,1176,3662,300,39232,39532,25060,0,54,2,2,0,150,150,0,5,26,,109397,,7.86,7.69,0.23,,38.09
,,,,,,,,,2846404,,,,204.43,345.29,907.02,1251.4600000000003,10737,118265,99143376,93653242,4495441,4696199,6683842,,607743,,640105,,73682,9093437,,0,,10848,303005,6122,17873763,3088342,1776378,1656632,35660261,37316568,15928539,18204,23699,30430,23159,2861,1049315,873682,45209,1986,3073428,1038274,89413281,,3.19,13.11,1.08,6.28,32.9
BEAVER1400,MINERSVILLE PUBLIC LIBRARY,40 WEST MAIN STREET,MINERSVILLE,84752,BEAVER,4353862267,HTTP://MINERSVILLELIBRARY.COM/INDEX.HTM,CI1,886,1,0,0,0,0.5,0.3,0.8,15,300,46053,46053,305241,305241,10770,4297,613,8979,39,141,0,24839,41,,41,7,1284,27,4315,1820,696,72,6822,6894,2937,0,62,86,74,0,1126,1090,0,4,780,75,40715,,28.03,7.78,2.05,4.87,51.98
SEVIER1200,MONROE PUBLIC LIBRARY,55 NORTH MAIN STREET,MONROE,84754,SEVIER,4355274019,HTTP://MONROECITYLIBRARY.BOOKSYS.NET/OPAC/MONROE/,CI1,2260,1,0,0,0,0.75,0.75,1.5,5,170,36429,36429,5647,5647,13296,4297,1816,8979,239,141,0,28768,41,,41,15,1240,25,12386,1249,1157,299,13160,13459,5512,0,0,47,47,0,929,929,0,14,1714,160,36429,,12.73,5.96,0.55,5.48,16.12
MORGAN1100,MORGAN COUNTY LIBRARY,50 NORTH 100 WEST,MORGAN,84050,MORGAN,8018293481,LIBRARY.MORGAN-COUNTY.NET,CO1,9821,1,0,0,0,2.95,0.95,3.9,41,641,167790,160740,5500,5500,39728,4297,2906,8979,3174,141,5017,64242,41,,41,26,2005,40,59440,1541,4427,2079,119050,121129,62895,0,406,207,192,5,4509,3881,155,8,7040,462,156135,0.000191,6.54,12.33,0.16,6.05,16.37
SANPET1500,MT. PLEASANT PUBLIC LIBRARY,24 EAST MAIN STREET,MT. PLEASANT,84647,SANPETE,4354623240,WWW.MTPLEASANTLIB.ORG,CI1,3278,1,0,0,0,1,1.35,2.35,111,1391,109069,109069,11365,11365,28549,4297,2395,8979,2173,141,445,46979,41,,41,50,1400,28,41450,13500,2525,1272,69461,70733,44562,0,183,244,236,6,6664,6427,230,15,4636,,97214,0.000881,14.33,21.58,4.12,12.64,33.27
SLTLAK1100,MURRAY PUBLIC LIBRARY,166 EAST 5300 SOUTH,MURRAY,84107,SALT LAKE,8012642574,WWW.MURRAYLIBRARY.ORG,CI1,48263,1,0,0,5,5,14,19,37,343,1706803,1525016,0,0,52748,5578,6178,8979,10808,141,17,84449,41,,41,107,2999,60,274617,34132,54719,12980,561002,573982,231669,0,94,545,453,68,22079,19783,1723,31,51352,45850,1471643,0.000434,1.75,11.89,0.71,5.69,31.6
JUABCO1200,NEPHI PUBLIC LIBRARY,21 EAST 100 NORTH,NEPHI,84648,JUAB,4356231312,HTTP://WWW.NEPHI.UTAH.GOV/LIBRARY/INDEX.HTML,CI1,5438,1,0,0,0,0.63,1.4,2.03,38,416,77737,71881,0,0,23279,4297,1414,8979,1381,141,0,39491,41,,41,15,1896,38,32000,6000,3156,2033,62558,64591,31295,0,140,76,59,10,2239,1974,34,8,6369,688,67750,,7.26,11.88,1.1,5.88,13.22
CACHCO1800,NEWTON TOWN LIBRARY,51 SOUTH CENTER STREET,NEWTON,84327,CACHE,4355639283,HOME.COMCAST.NET/~NEWTONLIB/,CI1,787,1,0,0,0,0.38,0.47,0.85,182,630,34357,32954,17331,17331,19711,4297,537,8979,441,141,89,34195,41,,41,0,1173,23,9880,4935,355,431,15655,16086,,0,2,76,71,2,1732,1628,50,9,2197,1947,24154,,43.45,20.44,6.27,12.55,41.87
CACHCO1700,NORTH LOGAN CITY LIBRARY,475 EAST 2500 NORTH,NORTH LOGAN,84341,CACHE,4357557169,WWW.NORTHLOGANLIBRARY.ORG/,CI1,8765,1,0,0,2,2,3.8,5.8,20,461,463685,561629,3000,6602,52872,4297,2168,8979,5710,141,234,74401,41,,42,70,2152,44,156000,,5221,1999,339475,341474,266016,0,68,163,112,31,8685,5086,829,18,9000,,392344,0.000749,8.49,38.96,0,17.8,64.08
UTAHCO1400,OREM PUBLIC LIBRARY,58 NORTH STATE STREET,OREM,84057,UTAH,8012297050,WWW.OREMLIBRARY.ORG,CI1,90749,1,0,0,5,6.5,35.5,42,778,11288,3056140,3056140,55526,55526,244179,5055,44507,9090,34928,141,2639,340539,41,,69,236,3429,69,452995,208728,68311,36476,1074741,1111217,484103,0,639,959,549,11,57965,35157,459,35,35981,12900,3012806,,3.75,12.24,2.3,4.99,33.68
SUMMIT1200,PARK CITY LIBRARY,1255 PARK AVENUE,PARK CITY,84060,SUMMIT,4356155600,WWW.PARKCITYLIBRARY.ORG,CI1,7862,1,0,0,3,3,8.37,11.37,102,1554,894425,894425,3419,3420,52483,4297,3675,8979,3118,141,415,73108,41,,44,178,3236,64,110995,2249,9695,480,77435,77915,31535,648,300,329,218,5,6216,4217,30,20,15550,22737,846859,,9.3,9.91,0.29,14.12,113.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.45,38.96,6.27,18.45,113.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0,0,0,0
IRONCO1300,PAROWAN PUBLIC LIBRARY,16 SOUTH MAIN STREET,PAROWAN,84761,IRON,4354773491,PAROWANLIBRARY.ORG,CI1,2827,1,0,0,0,1,0.8,1.8,42,87,115762,106066,0,0,22179,4297,2328,8979,0,141,0,37924,41,,41,21,2673,54,31000,2799,1698,696,18389,19085,8972,10,199,45,41,0,2200,1780,0,8,21400,3800,86000,,13.41,6.75,0.99,10.97,37.52
UTAHCO1500,PAYSON CITY LIBRARY,66 SOUTH MAIN STREET,PAYSON,84651,UTAH,8014655220,WWW.PAYSONLIBRARY.ORG,CI1,18938,1,0,0,1,2,3.9,5.9,22,997,292412,292412,0,0,34917,4297,1934,8979,2730,141,0,52998,41,,41,61,2552,51,35341,12368,11691,3265,140241,143506,97953,0,104,149,112,1,3959,3776,27,12,8895,,286277,,2.8,7.58,0.65,1.87,15.44
PIUTCO1100,PIUTE COUNTY BOOKMOBILE LIBRARY,25 SOUTH 200 EAST,PANGUITCH,84759,PIUTE,4356762431,HTTP://BOOKMOBILES.UTAH.GOV/MULTI_COUNTY/INDEX.HTML,CO2,1524,0,0,1,0,0.09,0.09,0.18,,,19344,19344,0,0,21267,4297,1637,8979,1513,141,5,37839,41,,41,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,13566,,24.83,0,,,12.69
UTAHCO1600,PLEASANT GROVE PUBLIC LIBRARY,30 EAST CENTER STREET,PLEASANT GROVE,84062,UTAH,8017853950,HTTP://LIBRARY.PLGROVE.ORG/,CI1,34519,1,0,0,1,3,13.8,16.8,287,3831,603695,586200,0,0,77648,5099,4980,8979,4600,141,130,101577,41,,46,61,3248,64,165775,24400,26095,12403,377690,390093,239215,0,40,620,578,24,24228,23574,392,10,24929,6100,578384,,2.94,11.3,0.71,4.8,16.98
MILLRD1300,PRESIDENT MILLARD FILLMORE LIBRARY,25 SOUTH 100 WEST,FILLMORE,84631,MILLARD,4357435314,WWW.FILLMORELIBRARY.ORG,CI1,3973,1,0,0,0,1,1,2,62,453,175700,167831,0,0,24754,4297,1390,8979,456,141,0,40017,41,,41,9,2104,43,22951,4990,2301,795,29878,30673,16776,3,164,55,44,3,6352,5062,25,11,4978,160,131603,,10.07,7.72,1.26,5.78,42.24
CARBON1300,PRICE CITY LIBRARY,159 EAST MAIN STREET,PRICE,84501,CARBON,4356363188,www.priceutah.net/Library,CI1,8621,1,0,0,1,3,4,7,7,18,322653,322653,0,0,62853,4297,3336,8979,3460,141,0,83066,41,,41,45,2795,55,62235,6290,3683,917,66313,67230,24287,226,463,185,181,4,4023,3960,63,22,12013,,314719,,9.64,7.8,0.73,7.22,37.43
UTAHCO1700,PROVO CITY LIBRARY,550 NORTH UNIVERSITY AVENUE,PROVO,84601,UTAH,8018526651,WWW.PROVOLIBRARY.COM,CI1,115919,1,0,0,8.25,21,31.1,52.1,230,2242,3813625,4014837,0,0,235307,8797,16484,9879,14712,141,351,285671,41,,52,253,3500,69,1000000,125800,83044,44793,1549589,1594382,847816,860,450,956,756,21,81679,69254,781,98,184736,22790,3424861,0.000766,2.46,13.75,1.09,8.63,34.63
RICHCO1100,RICH COUNTY BOOKMOBILE LIBRARY,5 NORTH MAIN STREET,RANDOLPH,84064,RICH,4357932122,HTTP://BOOKMOBILES.UTAH.GOV/CACHE/INDEX.HTML,CO2,2267,1,0,1,0,0.1,,,,,,,,,24461,4297,1255,8979,2053,141,4,41190,41,,41,0,,,,,462,406,2008,2414,754,0,27,,,,,,,,,,,,18.17,1.06,,,
SEVIER1300,RICHFIELD PUBLIC LIBRARY,83 EAST CENTER STREET,RICHFIELD,84701,SEVIER,4358965169,RICHFIELDLIBRARY.COM,CI1,7520,1,0,0,0,2,0.25,2.25,42,316,142744,137045,12296,12296,28765,4297,1361,8976,1764,141,4,45308,41,,41,35,1992,40,48250,8100,4081,2825,49923,52748,25347,0,442,139,134,0,3701,3482,0,12,9422,,132588,,6.03,7.01,1.08,6.42,18.22
CACHCO1500,RICHMOND PUBLIC LIBRARY,38 WEST MAIN STREET,RICHMOND,84333,CACHE,4352585525,RICHMONDLIBRARY.US,CI1,2514,1,0,0,0,0.75,1,1.75,41,270,70236,70236,0,0,21060,4297,863,8979,1627,141,84,37051,41,,41,13,1552,32,15140,150,1355,796,44489,45285,26525,0,177,65,51,8,1924,1549,141,9,3791,,65879,,14.74,18.01,0.06,6.02,27.94
UTAHCO2201,SALEM CITY LIBRARY,59 SOUTH MAIN STREET,SALEM,84653,UTAH,8014232622,WWW.SALEMCITYLIBRARY.ORG,CI1,6762,1,0,0,0,1,1,2,58,1426,100243,100243,38655,38655,17411,4297,1002,8979,1283,141,7,33120,41,,42,0,2327,47,35800,680,3345,1290,71074,72364,42031,0,278,114,106,5,2895,2680,143,6,6887,700,83468,,4.9,10.7,0.1,5.29,14.82
SEVIER1400,SALINA PUBLIC LIBRARY,90 WEST MAIN STREET,SALINA,84654,SEVIER,4355297753,http://www.salinacity.org/library/,CI1,4241,1,0,0,0,1,0.9,1.9,2,55,81056,75556,11416,11416,12451,4297,1451,8979,543,141,0,27862,41,,41,33,1660,33,11143,482,1481,690,15600,16290,,0,68,55,55,0,836,803,0,6,3343,3270,71600,,6.57,3.84,0.11,2.63,17.82
